,0
2064,481690
2065,481710
2066,481720
2067,481730
2068,481810
2069,481820
2070,481830
2071,481840
2072,481850
2073,481890
2074,481910
2075,481920
2076,481930
2077,481940
2078,481950
2079,481960
2080,482010
2081,482020
2082,482030
2083,482040
2084,482050
2085,482090
2086,482110
2087,482190
2088,482210
2089,482290
2090,482311
2091,482319
2092,482320
2093,482330
2094,482340
2095,482351
2096,482359
2097,482360
2098,482370
2099,482390
2100,490110
2101,490191
2102,490199
2103,490210
2104,490290
2105,490300
2106,490400
2107,490510
2108,490591
2109,490599
2110,490600
2111,490700
2112,490810
2113,490890
2114,490900
2115,491000
2116,491110
2117,491191
2118,491199
2119,500100
2120,500200
2121,500310
2122,500390
2123,500400
2124,500500
2125,500600
2126,500710
2127,500720
2128,500790
2129,510111
2130,510119
2131,510121
2132,510129
2133,510130
2134,510210
2135,510220
2136,510310
2137,510320
2138,510330
2139,510400
2140,510510
2141,510521
2142,510529
2143,510530
2144,510540
2145,510610
2146,510620
2147,510710
2148,510720
2149,510810
2150,510820
2151,510910
2152,510990
2153,511000
2154,511111
2155,511119
2156,511120
2157,511130
2158,511190
2159,511211
2160,511219
2161,511220
2162,511230
2163,511290
2164,511300
2165,520100
2166,520210
2167,520291
2168,520299
2169,520300
2170,520411
2171,520419
2172,520420
2173,520511
2174,520512
2175,520513
2176,520514
2177,520515
2178,520521
2179,520522
2180,520523
2181,520524
2182,520525
2183,520531
2184,520532
2185,520533
2186,520534
2187,520535
2188,520541
2189,520542
2190,520543
2191,520544
2192,520545
2193,520611
2194,520612
2195,520613
2196,520614
2197,520615
2198,520621
2199,520622
2200,520623
2201,520624
2202,520625
2203,520631
2204,520632
2205,520633
2206,520634
2207,520635
2208,520641
2209,520642
2210,520643
2211,520644
2212,520645
2213,520710
2214,520790
2215,520811
2216,520812
2217,520813
2218,520819
2219,520821
2220,520822
2221,520823
2222,520829
2223,520831
2224,520832
2225,520833
2226,520839
2227,520841
2228,520842
2229,520843
2230,520849
2231,520851
2232,520852
2233,520853
2234,520859
2235,520911
2236,520912
2237,520919
2238,520921
2239,520922
2240,520929
2241,520931
2242,520932
2243,520939
2244,520941
2245,520942
2246,520943
2247,520949
2248,520951
2249,520952
2250,520959
2251,521011
2252,521012
2253,521019
2254,521021
2255,521022
2256,521029
2257,521031
2258,521032
2259,521039
2260,521041
2261,521042
2262,521049
2263,521051
2264,521052
2265,521059
2266,521111
2267,521112
2268,521119
2269,521121
2270,521122
2271,521129
2272,521131
2273,521132
2274,521139
2275,521141
2276,521142
2277,521143
2278,521149
2279,521151
2280,521152
2281,521159
2282,521211
2283,521212
2284,521213
2285,521214
2286,521215
2287,521221
2288,521222
2289,521223
2290,521224
2291,521225
2292,530110
2293,530121
2294,530129
2295,530130
2296,530210
2297,530290
2298,530310
2299,530390
2300,530410
2301,530490
2302,530511
2303,530519
2304,530521
2305,530529
2306,530591
2307,530599
2308,530610
2309,530620
2310,530710
2311,530720
2312,530810
2313,530820
2314,530830
2315,530890
2316,530911
2317,530919
2318,530921
2319,530929
2320,531010
2321,531090
2322,531100
2323,540110
2324,540120
2325,540210
2326,540220
2327,540231
2328,540232
2329,540233
2330,540239
2331,540241
2332,540242
2333,540243
2334,540249
2335,540251
2336,540252
2337,540259
2338,540261
2339,540262
2340,540269
2341,540310
2342,540320
2343,540331
2344,540332
2345,540333
2346,540339
2347,540341
2348,540342
2349,540349
2350,540410
2351,540490
2352,540500
2353,540610
2354,540620
2355,540710
2356,540720
2357,540730
2358,540741
2359,540742
2360,540743
2361,540744
2362,540751
2363,540752
2364,540753
2365,540754
2366,540760
2367,540771
2368,540772
2369,540773
2370,540774
2371,540781
2372,540782
2373,540783
2374,540784
2375,540791
2376,540792
2377,540793
2378,540794
2379,540810
2380,540821
2381,540822
2382,540823
2383,540824
2384,540831
2385,540832
2386,540833
2387,540834
2388,550110
2389,550120
2390,550130
2391,550190
2392,550200
2393,550310
2394,550320
2395,550330
2396,550340
2397,550390
2398,550410
2399,550490
2400,550510
2401,550520
2402,550610
2403,550620
2404,550630
2405,550690
2406,550700
2407,550810
2408,550820
2409,550911
2410,550912
2411,550921
2412,550922
2413,550931
2414,550932
2415,550941
2416,550942
2417,550951
2418,550952
2419,550953
2420,550959
2421,550961
2422,550962
2423,550969
2424,550991
2425,550992
2426,550999
2427,551011
2428,551012
2429,551020
2430,551030
2431,551090
2432,551110
2433,551120
2434,551130
2435,551211
2436,551219
2437,551221
2438,551229
2439,551291
2440,551299
2441,551311
2442,551312
2443,551313
2444,551319
2445,551321
2446,551322
2447,551323
2448,551329
2449,551331
2450,551332
2451,551333
2452,551339
2453,551341
2454,551342
2455,551343
2456,551349
